location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course
Airport Road,630,1790000,INR,,1,1,"Features and Facilities Available For Your Comfort 

Modern Fittings in Kitchen 
Branded Tiles Flooring
Branded Bath Fitting
Plastic Paint
Sliding Cupboards 
False Ceiling
Gated Society 
Green Park 

Near Highway 

Direct Call Me For Booking and Any Other INFORMATION About Project .",1,northeast,0,0,0,0,1,1,0,1,0,0,1,0,,,,,1,1,1,,,1,1,1,1,,1,1,
Mohali Sector 127,930,2750000,INR,,1,1,"Features and Facilities Available For Your Comfort 

Modern Fittings in Kitchen 
Branded Tiles Flooring
Branded Bath Fitting
Plastic Paint
Sliding Cupboards 
False Ceiling
Gated Society 
Green Park 

Near Highway 

Direct Call Me For Booking and Any Other INFORMATION About Project .",1,northeast,0,0,0,0,1,1,0,1,0,1,1,1,,,,,1,1,1,,,1,1,1,1,,1,1,
Mohali Sector 127,900,2690000,INR,,1,1,"Features and Facilities Available For Your Comfort 

Modern Fittings in Kitchen 
Branded Tiles Flooring
Branded Bath Fitting
Plastic Paint
Sliding Cupboards 
False Ceiling
Gated Society 
Green Park 

Near Highway 

Direct Call Me For Booking and Any Other INFORMATION About Project .",1,northeast,0,0,0,0,1,1,0,1,0,0,1,0,,,,,1,1,1,,,1,1,1,1,,1,,
Kharar Mohali,990,3470000,INR,,1,1,"It has a salable area of 990 sqft and is available at a price of Rs. 3,505 per sqft. The house is semi-furnished. It has 2 wardrobe, 1 tv, 1 ac and 1 bed. It also has 1 modular kitchen. It is on 2nd floor. The building has a total of 3 floor(s). One of the major USPs of the property is that it is a garden facing property. The property is available on freehold. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,1,1,,,1,1,1,1,1,,,
sector 5 Mubarikpur road derabassi,1520,3235000,INR,,1,0,"It’s a 3 bhk builder floor situated in sector 5 Mubarikpur road derabassi, Chandigarh. It has an area of 1520 sqft with a carpet area of 1350 sqft . The property is available at a price of Rs. 32.35 lac . It is a semi-furnished property. It is on the 1st floor of the building (total number of floors are 3). The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,1,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,1,,,,,,,
Mohali Sector 127,800,3290000,INR,,1,1,"Well designed 2 bhk builder floor is available at a prime location in Mohali Sector 127. It has an area of 800 sqft with a carpet area of 745 sqft . The property is available at a price of Rs. 32.90 lac (negotiable ). It is a furnished property. It has 2 wardrobe, 1 sofa, 1 wifi and 1 dining table. It also has 2 bed and 1 modular kitchen. It’s on 2nd floor out of 3 floors building. It is northeast facing property. The property is in a complex owned by a co-operative society. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
sector 5 Mubarikpur road derabassi,1200,2475000,INR,,1,1,"A 2 bhk property is available for sale in sector 5 Mubarikpur road derabassi, Chandigarh. It has an area of 1200 sqft with a carpet area of 1025 sqft . The property is available at a price of Rs. 24.75 lac (negotiable ). It is a semi-furnished property. It’s on 1st floor out of 3 floors building. It is facing northeast direction. The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kharar Mohali,990,3480000,INR,,1,1,"It has an area of 990 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 34.80 lac (negotiable ). It is on the 2nd floor of the building (total number of floors are 3). It is a ready-to-move-in property. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Zirakpur punjab,1242,4095000,INR,,1,1,Well designed 3 bhk builder floor is available at a prime location in Zirakpur punjab. It has a built-up area of 1242 sqft and is priced at Rs. 40.95 lac (negotiable). The house is unfurnished. It’s on 2nd floor out of 3 floors building. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Zirakpur punjab,1737,6300000,INR,,1,1,"Jogging Track
Water Body
Kids Play Area
Open Air Theatre
Gazebo
Badminton Court
Lawn Tennis Court
Open Lawn
Sculpture
Open Gym
Club Building
Ent. Portico Green Area
Trails
Deviled Mounds
Themed Green Areas",1,north,0,0,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,1,1,1,,1,1,1,,1,
Zirakpur Road,1710,6100000,INR,,1,1,"A spacious 3 bhk builder floor is available for sale in Zirakpur Road, Chandigarh. It has an area of 1710 sqft with a carpet area of 1550 sqft . The property is available at a price of Rs. 61.00 lac (negotiable ). The house is semi-furnished. Its main door is facing northeast direction. The property is available on freehold. It has 3 bathrooms and 2 balconies. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northeast,0,1,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,,,1,1,1,1,1,1,1,
Airport Road,1737,6000000,INR,,1,1,"It’s a 3 bhk builder floor situated in Airport Road. It has a salable area of 1737 sqft and is available at a price of Rs. 3,454 per sqft. The house is semi-furnished. It is on the 1st floor of the building (total number of floors are 4). One of the major USPs of the property is that it is a road facing property. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential complex is under-construction as of now. The expected completion date is 04/01/2023. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",1,north,0,0,1,1,1,1,1,1,1,1,1,0,,,,1,1,,1,1,1,1,,,1,1,,1,1
Zirakpur Road,1737,6000000,INR,,1,1,"At Green Valley Residencia, all residents have easy access to some of the truly desired facilities such as Rainwater Harvesting, Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as a Tennis Court. Other facilities include Internet / Wi-Fi, provisions in the project. Kids can use the children's Play Area, nearby apart from Swimming Pool. The property has Fire Fighting Systems. There is 24x7 Security. Some other provisions include access to Banquet Hall, Landscaped Garden, Storm Water Drains, There is provision for Closed Car Parking. Come home to Green Valley Residencia.

Green Valley Residencia is approved by the state regulatory authority and the RERA ID is PBRERA-SAS79-PR0678.

Green Valley Builders is a renowned developer firm.

Gazipur is a prime area, with many attractions work and recreational options just a drive away",1,northwest,0,0,1,1,1,1,1,1,1,0,1,0,,,,1,1,1,1,,1,1,1,1,1,1,,1,
Patiala Road Zirakpur,990,3450000,INR,,1,0,"A 3 bhk property is available for sale in Patiala Road Zirakpur, Chandigarh. It has a built-up area of 990 sqft and is priced at Rs. 34.50 lac . The house is semi-furnished. It’s on 2nd floor out of 3 floors building. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is well connected to the city areas. ",1,east,0,1,0,1,1,0,0,0,0,0,1,0,,,,,,,1,1,,1,,,1,1,,,
Zirakpur Road,1773,6390000,INR,,1,1,"Home is more than just a place, it is a feeling, which offers you warmth, comfort, and a sense of togetherness. Keeping in mind that you are not just looking for a concrete area, but space that you can call home, Ornay Group focuses on delivering futuristic and luxurious homes that are the epitome of an ideal life. We will help you in finding the quality properties with all the necessary amenities, which will help in providing a wholesome experience to not just you but your entire family.

Ornay is not only a name, it is a relationship, an experience which helps you find your perfect abode, keeping in mind your budget, desires, security, and the well being. With the best of facilities and rich in luxury, it is hard to go unsatisfied with Ornay Groups. Our year of experience and expertise have helped us in conceptualizing and executing some of the most upscale real estate projects.",1,east,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,1,1,1,,1,1,1,,1,,,
Chandigarh International Airport,1550,11155000,INR,,1,1,"We don’t just promise an easy life, We believe in making sure you enjoy one. No matter how beautifully well equipped your house is, small day to day problems remains a part of your day to day life. Managing a smooth life is our commitment to you.",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Airport Road,1710,6490000,INR,,1,1,Well designed 3 bhk builder floor is available at a prime location in Airport Road. It is an unfurnished property. It is located on the 2nd floor(out of a total of 4 floor(s)). It is east facing property. It is an under-construction property and is expected to get completed by 03/02/2022. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ,1,east,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,1,,,,1,1,1,,,,,
Zirakpur punjab,1600,6000000,INR,,1,1,Well designed 3 bhk builder floor is available at a prime location in Zirakpur punjab. It is located on the 3rd floor(out of a total of 11 floor(s)). One of the major USPs of the property is that it is a road facing property. It has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Please contact us for more details. ,1,east,0,2,1,1,1,1,1,1,1,1,0,0,,,,,1,,,,,1,,,,1,,1,
Ambala Highway,1737,6390000,INR,,1,1,"It’s a 3 bhk builder floor situated in Ambala Highway. It has an area of 1737 sqft with a carpet area of 1530 sqft . The property is available at a price of Rs. 63.90 lac (negotiable ). It is a semi-furnished property. It’s on 2nd floor out of 4 floors building. This residential complex is under-construction as of now. The expected completion date is 30/01/2022. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,1,1,1,0,0,1,0,0,0,0,,,,,,,,,,1,,,,,,,
Patiala Road,1800,6690000,INR,,1,0,"Home is more than just a place, it is a feeling, which offers you warmth, comfort, and a sense of togetherness. Keeping in mind that you are not just looking for a concrete area, but space that you can call home, Ornay Group focuses on delivering futuristic and luxurious homes that are the epitome of an ideal life. We will help you in finding the quality properties with all the necessary amenities, which will help in providing a wholesome experience to not just you but your entire family.

Ornay is not only a name, it is a relationship, an experience which helps you find your perfect abode, keeping in mind your budget, desires, security, and the well being. With the best of facilities and rich in luxury, it is hard to go unsatisfied with Ornay Groups. Our year of experience and expertise have helped us in conceptualizing and executing some of the most upscale real estate projects.",1,east,0,1,1,1,1,0,1,0,1,0,1,1,,,,,1,,1,1,,1,,,,1,1,,
Zirakpur Road,1050,2950000,INR,,1,1,"A spacious 3 bhk builder floor is available for sale in Zirakpur Road, Chandigarh. It has an area of 1050 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 29.50 lac (negotiable ). It is a semi-furnished property. It is located on the 2nd floor(out of a total of 3 floor(s)). The property provides an excellent view as it overlooks the road. The property is available on freehold. It has 3 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,1,0,1,1,0,0,0,0,0,0,0,,,,,,,1,1,,1,,1,,,,,
Zirakpur Road,1710,6000000,INR,,1,1,"At Green Valley Residencia, all residents have easy access to some of the truly desired facilities such as Rainwater Harvesting, Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as a Tennis Court. Other facilities include Internet / Wi-Fi, provisions in the project. Kids can use the children's Play Area, nearby apart from Swimming Pool. The property has Fire Fighting Systems. There is 24x7 Security. Some other provisions include access to Banquet Hall, Landscaped Garden, Storm Water Drains, There is provision for Closed Car Parking. Come home to Green Valley Residencia.

Green Valley Residencia is approved by the state regulatory authority and the RERA ID is PBRERA-SAS79-PR0678.

Green Valley Builders is a renowned developer firm.

Gazipur is a prime area, with many attractions work and recreational options just a drive away",1,northeast,0,0,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,,1,1,1,1,1,1,,1,
Ambala Highway,1737,6390000,INR,,1,1,"It’s a 3 bhk builder floor situated in Ambala Highway, Chandigarh. It has a built-up area of 1737 sqft and is priced at Rs. 63.90 lac (negotiable). It is a semi-furnished property. It is on 2nd floor. The building has a total of 4 floor(s). It has 3 bathrooms and 2 balconies. It is an under-construction property and is expected to get completed by 06/01/2023. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Zirakpur punjab,1638,7390000,INR,,1,1,"It’s a 3 bhk builder floor situated in Zirakpur punjab. It has a salable area of 1638 sqft and is available at a price of Rs. 4,511 per sqft. The house is semi-furnished. It is on the 2nd floor of the building (total number of floors are 4). It is east facing property. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Zirakpur Road,2250,8800000,INR,,1,1,"It has a salable area of 2250 sqft and is available at a price of Rs. 3,911 per sqft. The house is semi-furnished. It is located on the 2nd floor(out of a total of 4 floor(s)). The property provides an excellent view as it overlooks the pool. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. ",1,,0,1,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,
Zirakpur Road,2250,8800000,INR,,1,1,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Zirakpur Road. It has a built-up area of 2250 sqft and is priced at Rs. 88.00 lac (negotiable). It’s on 2nd floor out of 4 floors building. The property is available on freehold. The property has 4 bathrooms and 3 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,0,1,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1
Mohali Sector 127,930,2790000,INR,,1,1,"Features and Facilities Available For Your Comfort 

Modern Fittings in Kitchen 
Branded Tiles Flooring
Branded Bath Fitting
Plastic Paint
Sliding Cupboards 
False Ceiling
Gated Society 
Green Park 

Near Highway 

Direct Call Me For Booking",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sector 127,930,2790000,INR,,1,1,"Features and Facilities Available For Your Comfort 

Modern Fittings in Kitchen 
Branded Tiles Flooring
Branded Bath Fitting
Plastic Paint
Sliding Cupboards 
False Ceiling
Gated Society 
Green Park 

Near Highway 

Direct Call Me For Booking",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kharar Mohali,990,3490000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in Kharar Mohali, Chandigarh. It has a salable area of 990 sqft and is available at a price of Rs. 3,525 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,1,1,1,,1,1,1,1,1,,,
Mohali Sector 127,963,3290000,INR,,1,1,"Spacial Saturday Sunday OFFERS

2bhk ready to move in in WITH FULLY FURNISHED FLATS SEC-127, NEAR BY Chandigarh sweets landra to kharar road Just in 32.90lac

*CHIMNEY

*MODULAR KITCHEN

*Cupboard in all rooms with best material

*R.O

*AC FETING

*LED TV

*WALL PAPER

*BED BOX

*SOFA

*LED LIGHTS

*Free Car Parking

*Branded Bath Fittings

10% Down Payment AND 90% Loan Facility

*Near by V.R Punjab Mall, school, College, hospital, Gym, bus stand etc. Read Less",1,northeast,1,0,0,0,1,1,0,1,0,0,0,1,,,,1,,1,,,,1,1,1,1,1,,,
SEC 115 MOHALI KHARAR LANDRAN ROAD,990,2990000,INR,,1,1,"It’s a 2 bhk builder floor situated in SEC 115 MOHALI KHARAR LANDRAN ROAD, Chandigarh. It has a salable area of 990 sqft and is available at a price of Rs. 3,020 per sqft. The house is furnished. It has 1 wardrobe, 1 sofa, 1 wifi and 1 dining table. It also has 2 bed. Its main door is facing northeast direction. The property is in a complex owned by a co-operative society. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Please contact for more details. ",1,northeast,1,0,0,0,1,1,0,1,0,0,0,1,,,,1,,1,,,,1,1,1,1,1,1,,
Mohali Sector 127,810,2390000,INR,,1,1,"Spacial Saturday Sunday OFFERS

2bhk ready to move in in WITH FULLY FURNISHED FLATS SEC-115, NEAR BY landra to kharar road Just in 23.90lac

*CHIMNEY

*MODULAR KITCHEN

*Cupboard in all rooms with best material

*R.O

*AC FETING

*LED TV

*WALL PAPER

*BED BOX

*SOFA

*LED LIGHTS

*Free Car Parking

*Branded Bath Fittings

10% Down Payment AND 90% Loan Facility

*Near by V.R Punjab Mall, school, College, hospital, Gym, bus stand etc. Read Less",1,northeast,1,0,0,0,1,1,0,1,0,0,0,1,,,,1,,1,,,,1,1,1,1,1,1,,
85 Mohali Stadium Road,2150,6211000,INR,,1,1,It’s a 3 bhk builder floor situated in 85 Mohali Stadium Road. It is a semi-furnished property. It’s on 2nd floor out of 3 floors building. It is facing east direction. It has 3 bathrooms and 2 balconies. The society is well connected by different modes of transportation. Please contact us for more details. ,1,east,0,2,1,1,1,1,1,1,1,1,1,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mohali Sec 118,1625,6700000,INR,,1,1,"It has an area of 1625 sqft with a carpet area of 1425 sqft . The property is available at a price of Rs. 67.00 lac (negotiable ). Furnishings include 1 modular kitchen, 3 wardrobe, 3 bed, 1 ac and 1 tv. It is on the 3rd floor of the building (total number of floors are 3). The property has 3 bathrooms and 2 balconies. If you are interested, please contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mohali Sec 125,1020,2490000,INR,,1,1,"A 2 bhk property is available for sale in Mohali Sec 125, Chandigarh. It has a salable area of 1020 sqft and is available at a price of Rs. 2,441 per sqft. It is a semi-furnished property. It is facing east direction. The property has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",1,east,0,2,0,0,1,0,0,0,0,1,1,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,
Sector 80,1000,5400000,INR,,0,0,"A 2 bhk property is available for sale in Sector 80, Chandigarh. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
DLF Mullanpur,2250,9390000,INR,,1,1,"It’s a 3 bhk builder floor situated in DLF Mullanpur, Chandigarh. It is a furnished property. It is located on the 3rd floor(out of a total of 4 floor(s)). One of the major USPs of the property is that it is a road facing property. The property is available on freehold. It has 3 bathrooms and 2 balconies. It is an under-construction property and is expected to get completed by 31/03/2023. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Zirakpur GAzipur Road,1000,2690000,INR,,1,1,"It’s a 2 bhk builder floor situated in Zirakpur GAzipur Road, Chandigarh. It has an area of 1000 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 26.90 lac (negotiable ). It is a semi-furnished property. It is located on the 1st floor(out of a total of 3 floor(s)). It is northeast facing property. The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",1,northeast,0,1,0,1,1,0,1,0,0,0,1,0,,,,,,,,,,1,,,,,,,
Aerocity Road,1510,5290000,INR,,1,1,"It has a salable area of 1510 sqft and is available at a price of Rs. 3,503 per sqft. It is a semi-furnished property. It is a corner property. It has 3 bathrooms and 2 balconies. Contact us for more details. ",1,northeast,0,1,1,1,1,0,1,1,1,0,1,0,,,,,,,,,,1,,,,,,,
Zirakpur GAzipur Road,1000,2690000,INR,,1,1,It is northeast facing property. The property is available on freehold. This residential property is ready-to-move-in. It is well connected to the city areas. Please contact for more details. ,1,northeast,0,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,,,
Sector 28,2600,38000000,INR,,1,0,,1,northeast,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,,,
sector 5 Mubarikpur road derabassi,1120,2475000,INR,,1,1,"It’s a 2 bhk builder floor situated in sector 5 Mubarikpur road derabassi, Chandigarh. It has a salable area of 1120 sqft and is available at a price of Rs. 2,209 per sqft. The house is semi-furnished. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,1,,1,1,,,,
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1890000,INR,,1,1,"It’s a 2 bhk builder floor situated in SEC 115 MOHALI KHARAR LANDRAN ROAD, Chandigarh. Furnishings include 2 wardrobe, 1 sofa, 1 wifi, 1 dining table, 2 bed and 1 modular kitchen. It’s on 2nd floor out of 3 floors building. It is northeast facing property. It has 2 bathrooms and 1 balcony. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sec 125,900,2090000,INR,,1,1,"It’s a 2 bhk builder floor situated in Mohali Sec 125. It has an area of 900 sqft with a carpet area of 845 sqft . The property is available at a price of Rs. 20.90 lac (negotiable ). The house is furnished. It is located on the 2nd floor(out of a total of 3 floor(s)). The property provides an excellent view as it overlooks the road. The property is in a complex owned by a co-operative society. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sec 125,900,2090000,INR,1,1,1,"A spacious 2 bhk builder floor is available for sale in Mohali Sec 125, Chandigarh. It has a built-up area of 900 sqft and is priced at Rs. 20.90 lac (negotiable). It is a furnished property. It has 2 wardrobe, 1 sofa, 1 wifi and 1 dining table. It also has 2 bed and 1 modular kitchen. It is on the 2nd floor of the building (total number of floors are 3). Its main door is facing northeast direction. The property is in a complex owned by a co-operative society. The property has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sec 125,900,2090000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Mohali Sec 125. It has a salable area of 900 sqft and is available at a price of Rs. 2,322 per sqft. It is a furnished property. It has 2 wardrobe, 1 sofa, 1 wifi and 1 dining table. It also has 2 bed and 1 modular kitchen. It is on 2nd floor. The building has a total of 3 floor(s). Its main door is facing northeast direction. The property is in a complex owned by a co-operative society. It has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
SECTOR 115 MOHALI ON KHARAR LANDRAN ROAD,650,1590000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in SECTOR 115 MOHALI ON KHARAR LANDRAN ROAD, Chandigarh. The house is furnished. The property is in a complex owned by a co-operative society. The property has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sector 127,600,1990000,INR,,1,1,"It’s a 1 bhk builder floor situated in Mohali Sector 127. It has an area of 600 sqft with a carpet area of 550 sqft . The property is available at a price of Rs. 19.90 lac (negotiable ). The house is furnished. Furnishings include 1 wardrobe, 1 sofa, 1 wifi, 1 dining table, 1 bed and 1 modular kitchen. It is on the 2nd floor of the building (total number of floors are 3). The property is in a complex owned by a co-operative society. It has 1 bathroom and 1 balcony. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sector 127,1215,3790000,INR,,1,1,"Well designed 3 bhk builder floor is available at a prime location in Mohali Sector 127. It has a built-up area of 1215 sqft and is priced at Rs. 37.90 lac (negotiable). The house is furnished. Furnishings include 3 wardrobe, 1 sofa, 1 wifi, 1 dining table, 3 bed and 1 modular kitchen. It is on 2nd floor. The building has a total of 3 floor(s). It is a road facing property. The property is in a complex owned by a co-operative society. It has 3 bathrooms and 1 balcony. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1,northeast,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Sector 127,630,1790000,INR,,1,1,Well designed 1 bhk builder floor is available at a prime location in Mohali Sector 127. It has a built-up area of 630 sqft and is priced at Rs. 17.90 lac (negotiable). It is a furnished property. It is on 2nd floor. The building has a total of 3 floor(s). It is a corner property. The property has 2 bathrooms and 1 balcony. It is well connected to the city areas. ,1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1890000,INR,,1,1,"It has 2 wardrobe, 1 sofa, 1 wifi and 1 dining table. It also has 2 bed and 1 modular kitchen. It is located on the 2nd floor(out of a total of 3 floor(s)). Its main door is facing northeast direction. It has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
sector 5 Mubarikpur road derabassi,1120,2475000,INR,,1,1,"It’s a 2 bhk builder floor situated in sector 5 Mubarikpur road derabassi. It has a salable area of 1120 sqft and is available at a price of Rs. 2,209 per sqft. The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,northeast,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,1,,1,1,,,,
Dera Bassi,1550,3590000,INR,,1,1,"It’s a 3 bhk builder floor situated in Dera Bassi, Chandigarh. It has a built-up area of 1550 sqft and is priced at Rs. 35.90 lac (negotiable). The house is semi-furnished. It’s on 1st floor out of 3 floors building. One of the major USPs of the property is that it is a road facing property. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,,0,0,1,0,1,0,1,0,0,0,0,0,7.1,,,,,,,,,1,,1,1,,,,
